Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00      560     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  0.00      0.84     0.00      560     0.00     0.00  __gnu_cxx::__normal_iterator<sift::Keypoint const*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >::operator++()
  0.00      0.84     0.00      560     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator++()
  0.00      0.84     0.00      560     0.00     0.00  __gnu_cxx::__normal_iterator<sift::Keypoint const*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >::operator*() const
  0.00      0.84     0.00      560     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
  0.00      0.84     0.00      560     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00      0.84     0.00      560     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      0.84     0.00      560     0.00     0.00  std::cos(float)
  0.00      0.84     0.00      560     0.00     0.00  std::sin(float)
  0.00      0.84     0.00      545     0.00     0.00  std::exp(float)
  0.00      0.84     0.00      500     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      0.84     0.00      500     0.00     0.00  bool __gnu_cxx::operator!=<sift::Keypoint*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >(__gnu_cxx::__normal_iterator<sift::Keypoint*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > > const&, __gnu_cxx::__normal_iterator<sift::Keypoint*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > > const&)
  0.00      0.84     0.00      500     0.00     0.00  std::allocator<float>::allocator()
  0.00      0.84     0.00      500     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.84     0.00      499     0.00     0.00  sift::find_input_img_coords(sift::Keypoint&, float, float, float, float, float, int)
  0.00      0.84     0.00      499     0.00     0.00  __gnu_cxx::__normal_iterator<sift::Keypoint*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >::operator++()
  0.00      0.84     0.00      499     0.00     0.00  __gnu_cxx::__normal_iterator<sift::Keypoint*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >::operator*() const
  0.00      0.84     0.00      499     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl()
  0.00      0.84     0.00      499     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base()
  0.00      0.84     0.00      499     0.00     0.00  std::vector<float, std::allocator<float> >::vector()
  0.00      0.84     0.00      499     0.00     0.00  float const* std::min_element<float const*>(float const*, float const*)
  0.00      0.84     0.00      499     0.00     0.00  float const* std::__min_element<float const*, __gnu_cxx::__ops::_Iter_less_iter>(float const*, float const*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.84     0.00      499     0.00     0.00  float std::min<float>(std::initializer_list<float>)
